2021-04-29 05:30:02 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:09 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:09 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:10 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:10 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:11 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:11 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:12 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:12 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:13 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:13 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:14 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:14 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:15 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:15 Line: 13, : Request start: 188.68.224.138
